transport,payload,rate,run_id,sub_tps,p50_ms,p95_ms,p99_ms,pub_tps,sent,recv,errors,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes
mqtt_artemis,1024,1000,latency_20251130_223252_artemis_p1024_n10_r100,1000.73,2.462,12.714,14.041,1000.04,30002,28995,0,/home/cc/mq-bench/artifacts/latency_20251130_223252_artemis_p1024_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,2048,1000,latency_20251130_223338_artemis_p2048_n10_r100,1000.82,1.785,2.626,4.473,1000.03,30002,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_223338_artemis_p2048_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,4096,1000,latency_20251130_223424_artemis_p4096_n10_r100,1000.69,1.973,2.662,4.180,1000.00,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_223424_artemis_p4096_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,8192,1000,latency_20251130_223510_artemis_p8192_n10_r100,1000.67,1.694,2.415,3.799,999.99,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_223510_artemis_p8192_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,16384,1000,latency_20251130_223557_artemis_p16384_n10_r100,1000.15,1.942,2.750,3.842,1000.01,30001,28991,0,/home/cc/mq-bench/artifacts/latency_20251130_223557_artemis_p16384_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,32768,1000,latency_20251130_223643_artemis_p32768_n10_r100,1001.22,1.894,2.836,5.566,999.98,30001,29001,0,/home/cc/mq-bench/artifacts/latency_20251130_223643_artemis_p32768_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,65536,1000,latency_20251130_223729_artemis_p65536_n10_r100,1000.17,2.644,4.223,11.190,1000.00,30001,28993,0,/home/cc/mq-bench/artifacts/latency_20251130_223729_artemis_p65536_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,131072,1000,latency_20251130_223815_artemis_p131072_n10_r100,1000.92,2.169,2.927,17.482,1000.02,30001,28995,0,/home/cc/mq-bench/artifacts/latency_20251130_223815_artemis_p131072_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,262144,1000,latency_20251130_223901_artemis_p262144_n10_r100,1001.54,2.843,4.628,36.635,998.58,29957,28986,0,/home/cc/mq-bench/artifacts/latency_20251130_223901_artemis_p262144_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,524288,1000,latency_20251130_223947_artemis_p524288_n10_r100,14.09,1456.472,2527.068,27564.966,998.55,29956,405,0,/home/cc/mq-bench/artifacts/latency_20251130_223947_artemis_p524288_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,1048576,1000,latency_20251130_224038_artemis_p1048576_n10_r100,0.00,0.000,0.000,0.000,573.88,17216,0,0,/home/cc/mq-bench/artifacts/latency_20251130_224038_artemis_p1048576_n10_r100/fanout_multi_topic_perkey,,,
mqtt_artemis,2097152,1000,latency_20251130_224129_artemis_p2097152_n10_r100,0.00,0.000,0.000,0.000,269.23,8076,0,0,/home/cc/mq-bench/artifacts/latency_20251130_224129_artemis_p2097152_n10_r100/fanout_multi_topic_perkey,,,
