transport,payload,rate,run_id,sub_tps,p50_ms,p95_ms,p99_ms,pub_tps,sent,recv,errors,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes
zenoh,1024,100,scale_20251205_025139_zenoh_p1024_n10_r10,101.00,0.325,0.449,1.252,93.23,3263,3163,0,/home/cc/mq-bench/artifacts/scale_20251205_025139_zenoh_p1024_n10_r10/fanout_multi_topic_perkey,2.220000,0.470000,4751098
zenoh,1024,1000,scale_20251205_025231_zenoh_p1024_n100_r10,1002.70,0.300,0.618,1.278,928.76,32506,31495,0,/home/cc/mq-bench/artifacts/scale_20251205_025231_zenoh_p1024_n100_r10/fanout_multi_topic_perkey,14.400000,1.470000,14847836
zenoh,1024,1000,scale_20251205_025323_zenoh_p1024_n100_r10,1000.87,0.306,0.567,1.164,929.03,32515,31508,0,/home/cc/mq-bench/artifacts/scale_20251205_025323_zenoh_p1024_n100_r10/fanout_multi_topic_perkey,16.210000,1.480000,14900265
zenoh,1024,10000,scale_20251205_025416_zenoh_p1024_n1000_r10,10056.62,0.508,1.118,3.308,9063.29,335333,325280,0,/home/cc/mq-bench/artifacts/scale_20251205_025416_zenoh_p1024_n1000_r10/fanout_multi_topic_perkey,50.570000,11.470000,115553075
zenoh,1024,20000,scale_20251205_025510_zenoh_p1024_n2000_r10,20208.71,1.043,33.341,100.991,17677.78,707414,705180,0,/home/cc/mq-bench/artifacts/scale_20251205_025510_zenoh_p1024_n2000_r10/fanout_multi_topic_perkey,96.520000,22.580000,227331277
zenoh,1024,30000,scale_20251205_025607_zenoh_p1024_n3000_r10,10535.39,0.538,1.356,3.602,10092.04,282566,145971,0,/home/cc/mq-bench/artifacts/scale_20251205_025607_zenoh_p1024_n3000_r10/fanout_multi_topic_perkey,72.080000,13.440000,135371162
zenoh,1024,40000,scale_20251205_025652_zenoh_p1024_n4000_r10,5976.63,0.402,0.932,2.010,7978.97,255247,169591,0,/home/cc/mq-bench/artifacts/scale_20251205_025652_zenoh_p1024_n4000_r10/fanout_multi_topic_perkey,45.730000,8.560000,86234890
zenoh,1024,50000,scale_20251205_025742_zenoh_p1024_n5000_r10,0.00,0.000,0.000,0.000,0.00,0,0,0,/home/cc/mq-bench/artifacts/scale_20251205_025742_zenoh_p1024_n5000_r10/fanout_multi_topic_perkey,10.630000,2.000000,20174602
redis,1024,100,scale_20251205_025822_redis_p1024_n10_r10,100.91,0.248,0.419,1.492,93.23,3263,3163,0,/home/cc/mq-bench/artifacts/scale_20251205_025822_redis_p1024_n10_r10/fanout_multi_topic_perkey,2.620000,1.410000,14176748
redis,1024,1000,scale_20251205_025913_redis_p1024_n100_r10,1001.36,0.242,0.484,1.467,930.64,32572,31565,0,/home/cc/mq-bench/artifacts/scale_20251205_025913_redis_p1024_n100_r10/fanout_multi_topic_perkey,11.840000,1.590000,16022241
