transport,payload,rate,run_id,sub_tps,p50_ms,p95_ms,p99_ms,pub_tps,sent,recv,errors,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,avg_cpu_perc,avg_mem_perc,avg_mem_used_bytes
zenoh,1024,5000,scale_20251209_022240_zenoh_p1024_n500_r10,4999.93,0.446,0.959,2.062,4587.42,165142,140100,0,/home/cc/mq-bench/artifacts/scale_20251209_022240_zenoh_p1024_n500_r10/fanout_multi_topic_perkey,40.800000,7.400000,74522296,29.202667,6.462667,65081617
zenoh,1024,10000,scale_20251209_022417_zenoh_p1024_n1000_r10,9933.05,0.544,1.183,3.396,9063.75,335352,293675,0,/home/cc/mq-bench/artifacts/scale_20251209_022417_zenoh_p1024_n1000_r10/fanout_multi_topic_perkey,44.820000,11.590000,116811366,36.219333,9.544000,96120166
zenoh,1024,20000,scale_20251209_022556_zenoh_p1024_n2000_r10,19233.23,0.998,23.265,57.606,17637.54,687852,664944,0,/home/cc/mq-bench/artifacts/scale_20251209_022556_zenoh_p1024_n2000_r10/fanout_multi_topic_perkey,90.810000,22.890000,230581862,72.570667,17.851333,179798628
zenoh,1024,30000,scale_20251209_022744_zenoh_p1024_n3000_r10,4721.25,0.441,0.947,2.281,4610.56,50715,54946,0,/home/cc/mq-bench/artifacts/scale_20251209_022744_zenoh_p1024_n3000_r10/fanout_multi_topic_perkey,47.700000,12.340000,124256256,31.720000,9.657500,97273774
zenoh,1024,40000,scale_20251209_022903_zenoh_p1024_n4000_r10,0.00,0.312,0.683,1.561,4949.88,84077,878,0,/home/cc/mq-bench/artifacts/scale_20251209_022903_zenoh_p1024_n4000_r10/fanout_multi_topic_perkey,27.910000,5.740000,57839452,6.369091,4.147273,41767642
zenoh,1024,50000,scale_20251209_023139_zenoh_p1024_n5000_r10,0.00,0.000,0.000,0.000,0.00,0,0,0,/home/cc/mq-bench/artifacts/scale_20251209_023139_zenoh_p1024_n5000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0,0.000000,0.000000,0
redis,1024,5000,scale_20251209_023252_redis_p1024_n500_r10,4999.87,0.290,0.857,1.691,4603.79,161131,136097,0,/home/cc/mq-bench/artifacts/scale_20251209_023252_redis_p1024_n500_r10/fanout_multi_topic_perkey,20.660000,2.220000,22397583,15.652000,2.114000,21307064
redis,1024,10000,scale_20251209_023414_redis_p1024_n1000_r10,10000.37,0.477,1.160,2.787,9100.09,327607,277573,0,/home/cc/mq-bench/artifacts/scale_20251209_023414_redis_p1024_n1000_r10/fanout_multi_topic_perkey,57.970000,1.950000,19639828,30.448667,1.710667,17233277
redis,1024,20000,scale_20251209_023539_redis_p1024_n2000_r10,19998.44,0.722,1.764,15.639,17719.72,691082,570966,0,/home/cc/mq-bench/artifacts/scale_20251209_023539_redis_p1024_n2000_r10/fanout_multi_topic_perkey,71.860000,3.870000,38996541,53.505333,3.378000,34024194
redis,1024,30000,scale_20251209_023716_redis_p1024_n3000_r10,8688.62,0.532,1.117,1.675,12799.56,2188728,1133751,0,/home/cc/mq-bench/artifacts/scale_20251209_023716_redis_p1024_n3000_r10/fanout_multi_topic_perkey,48.460000,3.290000,33124516,31.886000,2.542000,25602731
redis,1024,40000,scale_20251209_024105_redis_p1024_n4000_r10,7168.86,111.804,114.426,120.193,13827.15,2627151,1003729,0,/home/cc/mq-bench/artifacts/scale_20251209_024105_redis_p1024_n4000_r10/fanout_multi_topic_perkey,8.780000,3.820000,38461768,4.308000,1.952667,19662198
redis,1024,50000,scale_20251209_024724_redis_p1024_n5000_r10,19839.96,129.761,134.611,138.936,30423.24,22969527,8429747,0,/home/cc/mq-bench/artifacts/scale_20251209_024724_redis_p1024_n5000_r10/fanout_multi_topic_perkey,48.740000,3.950000,39751516,28.334667,2.858667,28791800
nats,1024,5000,scale_20251209_030048_nats_p1024_n500_r10,4999.96,0.306,0.770,2.039,4553.61,163926,138895,0,/home/cc/mq-bench/artifacts/scale_20251209_030048_nats_p1024_n500_r10/fanout_multi_topic_perkey,39.270000,8.580000,86392177,23.799333,7.606000,76613157
nats,1024,10000,scale_20251209_030211_nats_p1024_n1000_r10,10000.01,0.395,1.043,5.976,8977.72,341145,290980,0,/home/cc/mq-bench/artifacts/scale_20251209_030211_nats_p1024_n1000_r10/fanout_multi_topic_perkey,52.020000,14.300000,144074342,32.817333,13.106000,132017816
nats,1024,20000,scale_20251209_030336_nats_p1024_n2000_r10,19737.83,0.802,22.430,49.611,17309.66,726993,586849,0,/home/cc/mq-bench/artifacts/scale_20251209_030336_nats_p1024_n2000_r10/fanout_multi_topic_perkey,96.290000,26.250000,264346010,66.720000,19.328000,194659746
nats,1024,30000,scale_20251209_030515_nats_p1024_n3000_r10,10432.46,0.389,1.527,13.754,8024.30,80237,80181,0,/home/cc/mq-bench/artifacts/scale_20251209_030515_nats_p1024_n3000_r10/fanout_multi_topic_perkey,61.580000,21.250000,214014362,31.280000,18.816250,189517005
nats,1024,40000,scale_20251209_030648_nats_p1024_n4000_r10,0.00,0.275,0.379,1.246,10.20,51,51,0,/home/cc/mq-bench/artifacts/scale_20251209_030648_nats_p1024_n4000_r10/fanout_multi_topic_perkey,11.370000,14.730000,148373504,5.334000,14.156000,142564393
nats,1024,50000,scale_20251209_030900_nats_p1024_n5000_r10,0.00,0.283,0.641,1.296,3867.69,23203,26309,0,/home/cc/mq-bench/artifacts/scale_20251209_030900_nats_p1024_n5000_r10/fanout_multi_topic_perkey,33.230000,32.450000,326841139,22.047500,26.687500,268802458
mqtt_mosquitto,1024,5000,scale_20251209_030954_mosquitto_p1024_n500_r10,5000.00,0.410,1.473,3.674,4625.70,161905,136880,0,/home/cc/mq-bench/artifacts/scale_20251209_030954_mosquitto_p1024_n500_r10/fanout_multi_topic_perkey,30.520000,1.040000,10506732,21.994667,0.990000,9964967
mqtt_mosquitto,1024,10000,scale_20251209_031117_mosquitto_p1024_n1000_r10,9999.77,0.484,1.244,7.397,9195.64,331055,280981,0,/home/cc/mq-bench/artifacts/scale_20251209_031117_mosquitto_p1024_n1000_r10/fanout_multi_topic_perkey,60.850000,0.880000,8876196,46.063333,0.770667,7767362
mqtt_mosquitto,1024,20000,scale_20251209_031240_mosquitto_p1024_n2000_r10,20000.20,40.665,72.286,91.423,18142.57,671290,570398,0,/home/cc/mq-bench/artifacts/scale_20251209_031240_mosquitto_p1024_n2000_r10/fanout_multi_topic_perkey,93.940000,1.970000,19860029,70.233333,1.602000,16120178
mqtt_mosquitto,1024,30000,scale_20251209_031403_mosquitto_p1024_n3000_r10,21008.78,125.370,236.847,297.271,26905.58,1022438,634219,0,/home/cc/mq-bench/artifacts/scale_20251209_031403_mosquitto_p1024_n3000_r10/fanout_multi_topic_perkey,91.740000,6.680000,67297608,72.851333,3.675333,37025288
mqtt_mosquitto,1024,40000,scale_20251209_031530_mosquitto_p1024_n4000_r10,1811.00,0.325,0.933,3.187,35467.17,1383262,60845,0,/home/cc/mq-bench/artifacts/scale_20251209_031530_mosquitto_p1024_n4000_r10/fanout_multi_topic_perkey,35.550000,1.370000,13841203,14.790000,1.260000,12711213
mqtt_mosquitto,1024,50000,scale_20251209_031802_mosquitto_p1024_n5000_r10,652.00,0.270,0.599,1347.420,43574.71,1743049,22405,0,/home/cc/mq-bench/artifacts/scale_20251209_031802_mosquitto_p1024_n5000_r10/fanout_multi_topic_perkey,14.390000,1.240000,12509512,8.536429,1.195000,12044318
mqtt_emqx,1024,5000,scale_20251209_032039_emqx_p1024_n500_r10,4999.96,0.600,1.877,6.463,4624.58,161862,136819,0,/home/cc/mq-bench/artifacts/scale_20251209_032039_emqx_p1024_n500_r10/fanout_multi_topic_perkey,46.980000,29.000000,292133274,32.882000,28.231333,284338859
mqtt_emqx,1024,10000,scale_20251209_032207_emqx_p1024_n1000_r10,10000.11,0.706,3.455,27.574,9193.59,330975,280895,0,/home/cc/mq-bench/artifacts/scale_20251209_032207_emqx_p1024_n1000_r10/fanout_multi_topic_perkey,77.470000,29.200000,294125568,57.533333,27.747333,279473466
mqtt_emqx,1024,20000,scale_20251209_032335_emqx_p1024_n2000_r10,12239.78,1.011,24.297,42.598,18140.77,671237,354265,0,/home/cc/mq-bench/artifacts/scale_20251209_032335_emqx_p1024_n2000_r10/fanout_multi_topic_perkey,93.630000,47.550000,478884659,75.822000,40.918667,412118330
mqtt_emqx,1024,30000,scale_20251209_032505_emqx_p1024_n3000_r10,369.58,0.403,6459.228,19075.695,26944.86,1023929,11105,0,/home/cc/mq-bench/artifacts/scale_20251209_032505_emqx_p1024_n3000_r10/fanout_multi_topic_perkey,23.330000,50.140000,505099059,11.086000,41.520667,418165118
mqtt_emqx,1024,40000,scale_20251209_032709_emqx_p1024_n4000_r10,22.04,0.562,23035.118,25518.146,35446.46,1382458,639,0,/home/cc/mq-bench/artifacts/scale_20251209_032709_emqx_p1024_n4000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0,0.000000,0.000000,0
mqtt_emqx,1024,50000,scale_20251209_032848_emqx_p1024_n5000_r10,0.00,0.000,0.000,0.000,43559.14,1742395,0,0,/home/cc/mq-bench/artifacts/scale_20251209_032848_emqx_p1024_n5000_r10/fanout_multi_topic_perkey,6.270000,46.790000,471230054,3.264667,43.603333,439199553
mqtt_hivemq,1024,5000,scale_20251209_033056_hivemq_p1024_n500_r10,5000.23,1.529,6.697,19.317,4624.71,161872,136837,0,/home/cc/mq-bench/artifacts/scale_20251209_033056_hivemq_p1024_n500_r10/fanout_multi_topic_perkey,74.040000,34.810000,350538957,52.200000,34.187333,344324396
mqtt_hivemq,1024,10000,scale_20251209_033229_hivemq_p1024_n1000_r10,9996.68,17.007,291.766,409.207,9194.37,331007,280864,0,/home/cc/mq-bench/artifacts/scale_20251209_033229_hivemq_p1024_n1000_r10/fanout_multi_topic_perkey,98.580000,47.360000,476997222,88.979333,46.498000,468322004
mqtt_hivemq,1024,20000,scale_20251209_033401_hivemq_p1024_n2000_r10,0.00,0.000,0.000,0.000,18279.29,658216,0,0,/home/cc/mq-bench/artifacts/scale_20251209_033401_hivemq_p1024_n2000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0,0.000000,0.000000,0
mqtt_hivemq,1024,30000,scale_20251209_033531_hivemq_p1024_n3000_r10,0.00,0.000,0.000,0.000,27172.31,1006252,0,0,/home/cc/mq-bench/artifacts/scale_20251209_033531_hivemq_p1024_n3000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0,0.000000,0.000000,0
mqtt_hivemq,1024,40000,scale_20251209_033701_hivemq_p1024_n4000_r10,0.00,0.000,0.000,0.000,35771.01,1360565,0,0,/home/cc/mq-bench/artifacts/scale_20251209_033701_hivemq_p1024_n4000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0,0.000000,0.000000,0
mqtt_hivemq,1024,50000,scale_20251209_033835_hivemq_p1024_n5000_r10,0.00,0.000,0.000,0.000,31713.59,1283840,0,0,/home/cc/mq-bench/artifacts/scale_20251209_033835_hivemq_p1024_n5000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0,0.000000,0.000000,0
mqtt_artemis,1024,5000,scale_20251209_034010_artemis_p1024_n500_r10,5000.04,0.504,1.909,37.519,4623.94,161844,136807,0,/home/cc/mq-bench/artifacts/scale_20251209_034010_artemis_p1024_n500_r10/fanout_multi_topic_perkey,98.360000,63.750000,642043085,51.952667,58.334000,587538104
mqtt_artemis,1024,10000,scale_20251209_034140_artemis_p1024_n1000_r10,0.00,0.000,0.000,0.000,9193.69,330982,0,0,/home/cc/mq-bench/artifacts/scale_20251209_034140_artemis_p1024_n1000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0,0.000000,0.000000,0
mqtt_artemis,1024,20000,scale_20251209_034309_artemis_p1024_n2000_r10,0.00,0.000,0.000,0.000,18253.34,657286,0,0,/home/cc/mq-bench/artifacts/scale_20251209_034309_artemis_p1024_n2000_r10/fanout_multi_topic_perkey,0.000000,0.000000,0,0.000000,0.000000,0
