timestamp,sent_count,received_count,error_count,total_throughput,interval_throughput,latency_ns_p50,latency_ns_p95,latency_ns_p99,latency_ns_min,latency_ns_max,latency_ns_mean
1762218599,0,0,0,0.00,0.00,0,0,0,0,0,0.00
1762218600,10001,0,0,10015.83,10002.90,0,0,0,0,0,0.00
1762218601,20001,0,0,10006.65,9997.49,0,0,0,0,0,0.00
1762218602,30001,0,0,10007.38,10008.82,0,0,0,0,0,0.00
1762218603,40001,0,0,10004.64,9996.44,0,0,0,0,0,0.00
1762218604,50001,0,0,10004.15,10002.19,0,0,0,0,0,0.00
1762218605,60001,0,0,10002.46,9994.03,0,0,0,0,0,0.00
1762218606,70001,0,0,10002.65,10003.76,0,0,0,0,0,0.00
1762218607,80001,0,0,10001.58,9994.10,0,0,0,0,0,0.00
1762218608,90001,0,0,10002.30,10008.10,0,0,0,0,0,0.00
1762218609,100001,0,0,10002.04,9999.68,0,0,0,0,0,0.00
1762218610,110001,0,0,10001.98,10001.40,0,0,0,0,0,0.00
1762218611,120001,0,0,10001.27,9993.46,0,0,0,0,0,0.00
1762218612,130001,0,0,10001.09,9998.90,0,0,0,0,0,0.00
1762218613,140001,0,0,10001.02,10000.21,0,0,0,0,0,0.00
1762218614,150001,0,0,10001.01,10000.77,0,0,0,0,0,0.00
1762218615,160001,0,0,10000.96,10000.18,0,0,0,0,0,0.00
1762218616,170001,0,0,10000.89,9999.84,0,0,0,0,0,0.00
1762218617,180001,0,0,10000.85,10000.08,0,0,0,0,0,0.00
1762218618,190001,0,0,10000.85,10000.86,0,0,0,0,0,0.00
1762218619,200001,0,0,10001.02,10004.35,0,0,0,0,0,0.00
